Процент правильного получения: 100.000000 

in=0, out=0, time=1250487
in=1, out=1, time=1250662
in=2, out=2, time=1250837
in=3, out=3, time=1251012
in=4, out=4, time=1251187
in=5, out=5, time=1251362
in=6, out=6, time=1251537
in=7, out=7, time=1251712
in=8, out=8, time=1251887
in=9, out=9, time=1252062
in=10, out=10, time=1252237
in=11, out=11, time=1252412
in=12, out=12, time=1252587
in=13, out=13, time=1252762
in=14, out=14, time=1252937
in=15, out=15, time=1253112
in=16, out=16, time=1253287
in=17, out=17, time=1253462
in=18, out=18, time=1208837
in=19, out=19, time=1209012
in=20, out=20, time=1209187
in=21, out=21, time=1209362
in=22, out=22, time=1209537
in=23, out=23, time=1209712
in=24, out=24, time=1209887
in=25, out=25, time=1210062
in=26, out=26, time=1210237
in=27, out=27, time=1210412
in=28, out=28, time=1210587
in=29, out=29, time=1210762
in=30, out=30, time=1210937
in=31, out=31, time=1211112
in=32, out=32, time=1211287
in=33, out=33, time=1211462
in=34, out=34, time=1211637
in=35, out=35, time=1211812
in=36, out=36, time=1211987
in=37, out=37, time=1212162
in=38, out=38, time=1212337
in=39, out=39, time=1212512
in=40, out=40, time=1212687
in=41, out=41, time=1212862
in=42, out=42, time=1213037
in=43, out=43, time=1213212
in=44, out=44, time=1213387
in=45, out=45, time=1213562
in=46, out=46, time=1213737
in=47, out=47, time=1213912
in=48, out=48, time=1214087
in=49, out=49, time=1214262
in=50, out=50, time=1214437
in=51, out=51, time=1214612
in=52, out=52, time=1214787
in=53, out=53, time=1214962
in=54, out=54, time=1215137
in=55, out=55, time=1215312
in=56, out=56, time=1215488
in=57, out=57, time=1215662
in=58, out=58, time=1215837
in=59, out=59, time=1216012
in=60, out=60, time=1216187
in=61, out=61, time=1216362
in=62, out=62, time=1216537
in=63, out=63, time=1216712
in=64, out=64, time=1216887
in=65, out=65, time=1217062
in=66, out=66, time=1217237
in=67, out=67, time=1217412
in=68, out=68, time=1217587
in=69, out=69, time=1217762
in=70, out=70, time=1217937
in=71, out=71, time=1218112
in=72, out=72, time=1218287
in=73, out=73, time=1218462
in=74, out=74, time=1218637
in=75, out=75, time=1218812
in=76, out=76, time=1218987
in=77, out=77, time=1219162
in=78, out=78, time=1219337
in=79, out=79, time=1219512
in=80, out=80, time=1219687
in=81, out=81, time=1219862
in=82, out=82, time=1220037
in=83, out=83, time=1220212
in=84, out=84, time=1220387
in=85, out=85, time=1220562
in=86, out=86, time=1220737
in=87, out=87, time=1220912
in=88, out=88, time=1221087
in=89, out=89, time=1221262
in=90, out=90, time=1221437
in=91, out=91, time=1221612
in=92, out=92, time=1221787
in=93, out=93, time=1221962
in=94, out=94, time=1222137
in=95, out=95, time=1222312
in=96, out=96, time=1222487
in=97, out=97, time=1222662
in=98, out=98, time=1222837
in=99, out=99, time=1223012
in=100, out=100, time=1223187
in=101, out=101, time=1223362
in=102, out=102, time=1223537
in=103, out=103, time=1223712
in=104, out=104, time=1223887
in=105, out=105, time=1224062
in=106, out=106, time=1224237
in=107, out=107, time=1224412
in=108, out=108, time=1224587
in=109, out=109, time=1224762
in=110, out=110, time=1224937
in=111, out=111, time=1225112
in=112, out=112, time=1225287
in=113, out=113, time=1225462
in=114, out=114, time=1225637
in=115, out=115, time=1225812
in=116, out=116, time=1225987
in=117, out=117, time=1226162
in=118, out=118, time=1226337
in=119, out=119, time=1226512
in=120, out=120, time=1226687
in=121, out=121, time=1226862
in=122, out=122, time=1227037
in=123, out=123, time=1227212
in=124, out=124, time=1227387
in=125, out=125, time=1227562
in=126, out=126, time=1227737
in=127, out=127, time=1227912
in=128, out=128, time=1228087
in=129, out=129, time=1228262
in=130, out=130, time=1228437
in=131, out=131, time=1228612
in=132, out=132, time=1228787
in=133, out=133, time=1228962
in=134, out=134, time=1229137
in=135, out=135, time=1229313
in=136, out=136, time=1229487
in=137, out=137, time=1229662
in=138, out=138, time=1229837
in=139, out=139, time=1230012
in=140, out=140, time=1230187
in=141, out=141, time=1230362
in=142, out=142, time=1230537
in=143, out=143, time=1230712
in=144, out=144, time=1230887
in=145, out=145, time=1231062
in=146, out=146, time=1231237
in=147, out=147, time=1231412
in=148, out=148, time=1231587
in=149, out=149, time=1231762
in=150, out=150, time=1231937
in=151, out=151, time=1232112
in=152, out=152, time=1232287
in=153, out=153, time=1232462
in=154, out=154, time=1232637
in=155, out=155, time=1232812
in=156, out=156, time=1232987
in=157, out=157, time=1233162
in=158, out=158, time=1233337
in=159, out=159, time=1233512
in=160, out=160, time=1233687
in=161, out=161, time=1233862
in=162, out=162, time=1234037
in=163, out=163, time=1234212
in=164, out=164, time=1234387
in=165, out=165, time=1234562
in=166, out=166, time=1234737
in=167, out=167, time=1234912
in=168, out=168, time=1235087
in=169, out=169, time=1235262
in=170, out=170, time=1235437
in=171, out=171, time=1235612
in=172, out=172, time=1235787
in=173, out=173, time=1235962
in=174, out=174, time=1236137
in=175, out=175, time=1236312
in=176, out=176, time=1236487
in=177, out=177, time=1236662
in=178, out=178, time=1236837
in=179, out=179, time=1237012
in=180, out=180, time=1237187
in=181, out=181, time=1237362
in=182, out=182, time=1237537
in=183, out=183, time=1237712
in=184, out=184, time=1237887
